RegionName,StateName,Date,Zillow_Home_Value_Index,Sales_Count,Total_Transaction_Value,ZipCode,Year,MortgageRate30Yr,DistanceToMajorCity_Miles,MajorCityReference,Affordable
"Barnstable Town, MA",MA,2019-01-31,436713.11879735097,316.0,204153853.0,02601,2019,3.94,63.08291567789635,Boston,0
"Barnstable Town, MA",MA,2019-02-28,437174.71054638905,283.0,171266552.0,02601,2019,3.94,63.08291567789635,Boston,0
"Barnstable Town, MA",MA,2019-03-31,438322.5887622105,383.0,210689379.0,02601,2019,3.94,63.08291567789635,Boston,0
"Barnstable Town, MA",MA,2019-04-30,439918.845112908,464.0,248315947.0,02601,2019,3.94,63.08291567789635,Boston,0
"Barnstable Town, MA",MA,2019-05-31,441197.0966136384,617.0,339132690.0,02601,2019,3.94,63.08291567789635,Boston,0
"Barnstable Town, MA",MA,2019-06-30,442342.5389500139,567.0,325932914.0,02601,2019,3.94,63.08291567789635,Boston,0
"Barnstable Town, MA",MA,2019-07-31,442727.4150730765,444.0,230034397.0,02601,2019,3.94,63.08291567789635,Boston,0
"Barnstable Town, MA",MA,2019-08-31,442764.8780067688,497.0,312794612.0,02601,2019,3.94,63.08291567789635,Boston,0
"Barnstable Town, MA",MA,2019-09-30,442168.00095317286,461.0,273073517.0,02601,2019,3.94,63.08291567789635,Boston,0
"Barnstable Town, MA",MA,2019-10-31,442067.45756177447,484.0,254145683.0,02601,2019,3.94,63.08291567789635,Boston,0
"Barnstable Town, MA",MA,2019-11-30,442739.7942521497,424.0,240806928.0,02601,2019,3.94,63.08291567789635,Boston,0
"Barnstable Town, MA",MA,2019-12-31,443767.1732199146,417.0,242064625.0,02601,2019,3.94,63.08291567789635,Boston,0
"Barnstable Town, MA",MA,2020-01-31,445053.26075110206,386.0,218037091.0,02601,2020,3.11,63.08291567789635,Boston,0
"Barnstable Town, MA",MA,2020-02-29,446605.9200481531,251.0,126199056.0,02601,2020,3.11,63.08291567789635,Boston,0
"Barnstable Town, MA",MA,2020-03-31,448846.77641976095,424.0,244609625.0,02601,2020,3.11,63.08291567789635,Boston,0
"Barnstable Town, MA",MA,2020-04-30,451054.4865047359,339.0,186961425.0,02601,2020,3.11,63.08291567789635,Boston,0
"Barnstable Town, MA",MA,2020-05-31,452100.92058759,318.0,180162941.0,02601,2020,3.11,63.08291567789635,Boston,0
"Barnstable Town, MA",MA,2020-06-30,452178.0338695527,561.0,347182747.0,02601,2020,3.11,63.08291567789635,Boston,0
"Barnstable Town, MA",MA,2020-07-31,452266.3299246629,710.0,443677724.0,02601,2020,3.11,63.08291567789635,Boston,0
"Barnstable Town, MA",MA,2020-08-31,454781.2417555962,659.0,475926530.0,02601,2020,3.11,63.08291567789635,Boston,0
"Barnstable Town, MA",MA,2020-09-30,460462.7810143251,733.0,523103734.0,02601,2020,3.11,63.08291567789635,Boston,0
"Barnstable Town, MA",MA,2020-10-31,468865.221283219,743.0,532905552.0,02601,2020,3.11,63.08291567789635,Boston,0
"Barnstable Town, MA",MA,2020-11-30,478738.93531311286,599.0,441638440.0,02601,2020,3.11,63.08291567789635,Boston,0
"Barnstable Town, MA",MA,2020-12-31,488811.7495188231,638.0,472928620.0,02601,2020,3.11,63.08291567789635,Boston,0
"Barnstable Town, MA",MA,2021-01-31,498827.1040484072,424.0,349276683.0,02601,2021,2.96,63.08291567789635,Boston,0
"Barnstable Town, MA",MA,2021-02-28,509741.3800845949,345.0,254892245.0,02601,2021,2.96,63.08291567789635,Boston,0
"Barnstable Town, MA",MA,2021-03-31,521211.7196416266,414.0,316043982.0,02601,2021,2.96,63.08291567789635,Boston,0
"Barnstable Town, MA",MA,2021-04-30,534707.1553736228,466.0,380867509.0,02601,2021,2.96,63.08291567789635,Boston,0
"Barnstable Town, MA",MA,2021-05-31,550158.8122748468,500.0,398631285.0,02601,2021,2.96,63.08291567789635,Boston,0
"Barnstable Town, MA",MA,2021-06-30,566298.2510563396,584.0,433616826.0,02601,2021,2.96,63.08291567789635,Boston,0
